id_x,host_response_rate,host_is_superhost,host_listings_count,accommodates,bedrooms,beds,maximum_nights,price,review_scores_rating,review_scores_cleanliness,review_scores_location,number_of_reviews,neighbourhood,property_type,neighbourhood_freq,property_type_freq
1342178641662891846,0.25,0,8.0,1.0,1.0,2.0,365.0,26.0,5.0,5.0,5.0,1,Unknown,Shared room in rental unit,0.5945340501792115,0.0029121863799283156
1342317657290820083,1.0,0,1.0,6.0,3.0,3.0,30.0,392.0,4.9,4.9,5.0,100,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1342642518011307065,0.9,0,1.0,3.0,2.0,2.0,365.0,163.0,5.0,5.0,5.0,324,"Dublin 8, County Dublin, Ireland",Entire home,0.02710573476702509,0.1646505376344086
1342744970807789968,1.0,0,2.0,2.0,1.0,1.0,365.0,119.0,5.0,5.0,4.5,4,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
1342754304312540263,0.46,0,1.0,2.0,1.0,1.0,365.0,105.0,5.0,5.0,5.0,4,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
1342826046133017985,1.0,0,3.0,2.0,3.0,4.0,365.0,43.0,5.0,5.0,5.0,4,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1342867924896544282,0.75,0,3.0,1.0,1.0,1.0,365.0,77.0,5.0,5.0,5.0,4,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1342877221085312396,1.0,0,1.0,7.0,4.0,4.0,1125.0,238.0,4.71,4.86,4.64,196,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1343396913123299381,0.3,0,4.0,2.0,1.0,1.0,365.0,60.0,1.0,1.0,1.0,1,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1343537128269445805,1.0,0,4.0,2.0,1.0,1.0,7.0,115.0,4.14,4.0,4.86,49,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
